Site name;Salton Sea;Upper Rhine Graben;Salar de Atacama;Salar de Olaroz;Salar de Cauchari-Olaroz;Salar del Hombre Muerto North;Tres Quebradas;Salar del Rincon;Salar de Arizaro;Salar de Rio Grande;Salar de Tolillar;Sal de los Angeles;Fenix;Sal de Vida;Salar de Pastos Grandes;Salar de Antofalla;Salar de Centenario;Salar de Pocitos;Pozuelos;Salar de Salinas Grandes;Maricunga;Salar de Uyuni;Twelveheads;Qinghai Yiliping;West Taijinair;East Taijinair;Jintaier Lake;Salar de Ollague;Silver Peak;Kachi;Chaerhan
abbreviation;Sal;URG;Ata;Ola;Cau;Hom;TresQ;Rin;Ari;Rio;Tol;Ang;Fen;Vid;Pas;Ant;Cent;Poc;Poz;SalG;Mari;Uyu;Twel;Yilip;WeTai;EaTai;Jint;Olla;Sil;Kach;Chaer
deposit_type;geothermal;geothermal;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;salar;geothermal;salar;salar;salar;salar;salar;salar;salar;salar
country_location;US-WECC;DE;CL;AR;AR;AR;AR;AR;AR;AR;AR;AR;AR;AR;AR;AR;AR;AR;AR;AR;CL;BOL;GB;CN;CN;CN;CN;CL;US;AR;CN 
elevation;-71;143;2300;3900;3000;4000;4100;3718;3480;3660;3630;4060;4000;4000;3780;3330;3820;3673;3760;3414;3750;3653;103;2700;2690;2690;3140;3700;1544;3000;2670
longitude;-115.57814;7.97511;-68.32159;-66.7;-66.79067;-66.98187;-68.66513;-67.12;-67.70972;-68.14443;-67.12411;-66.74833;-67.04878;-66.94715;-66.70459;-67.463;-66.81628;-67.00505;-66.81781;-65.94639;-69.071664;-67.37803;-5.13896;91.48386;93.52944;94.06972;97.27879;-68.27653;-117.57931;-67.42899;95.24038
latitude;33.17757;48.65578;-23.64182;-23.45;-23.75738;-25.22556;-27.36413;-24.0575;-24.77014;-25.00605;-25.03672;-25.24472;-25.3927;-25.34532;-24.57086;-25.248;-25.09077;-24.56123;-24.69897;-23.72856;-26.877736;-20.54285;50.24332;38.54061;37.68833;37.39523;37.38915;-21.23276;37.77544;-26.49883;36.78454
annual_airtemp;22;15;16.8;8.24;5.1;5.2;4;;;;6.5;;5.2;5.2;6.3;;;;;;5.5;7.8;;;;;;;13;;
evaporation_rate;0;0;1.44;1.246;1.27;1.106;1.788;1.233;;;2.044;;1.106;1.106;1.2;;;;;;1.44;1.318;0;;;;;;1.425;;
boilingpoint_process;100;100;99.5;86.8;89;86.4;94.9;;;;;;86.4;86.4;;;;;;;;;;;;;;;94.92;;
density_brine;1.13;1.13;1.223;1.211;1.22;1.206;1.237;1.22;1.22;1.22;1.2;;1.206;1.206;1.22;1.22;1.22;1.22;1.22;1.22;1.2;1.2;;;;;;;1.2;;
vec_ini;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ini_Li;0.02;0.02;0.15;0.06;0.05;0.07;0.09;0.03;0.026065574;0.034426;0.03;;0.07;0.08;0.04;0.03;0.03;0.01;0.02;0.02;0.09;0.0700000;;;;;;;0.02;;
ini_Cl;12.57;5.36;16.04;14.59;14.70;14.94;17.19;15.61;4.823524590;12.20;;;14.94;;;7.23;1.76;15.62;14.45;11.50;15.80;16.98;;;;;;;10.06;;
ini_Na;4.36;1.97;7.60;9.86;9.80;9.18;5.57;10.02;2.095491803;7.57;;;9.18;;;4.57;0.86;10.09;8.83;7.12;7.14;8.78;;;;;;;6.2;;
ini_K;1.28;0.43;1.85;0.51;4.81;0.68;0.92;0.54;0.618278689;0.30;;;0.68;0.87;0.38;0.07;0.25;0.28;0.24;0.31;0.67;1.31;;;;;;;0.8;;
ini_Ca;2.27;0.46;0.03;0.04;0.00;0.06;4.17;0.02;0.042377049;0.07;0.03;;0.06;;;0.04;0.00;0.05;0.05;0.12;1.05;0.28;;;;;;;0.71;;
ini_Mg;0.01;0.01;0.96;0.17;0.14;0.15;0.15;0.17;0.634016393;0.21;0.14;;0.15;0.17;0.26;0.07;0.19;0.11;0.15;0.09;0.60;1.39;;;;;;;0.02;;
ini_SO4;0.01;0.02;1.65;1.54;0.20;0.84;0.00;1.31;2.479180328;0.87;;;0.84;0.90;;0.64;1.00;0.61;0.74;0.18;0.06;1.78;;;;;;;0;;
ini_B;0.03;0.00;0.06;0.09;0.60;0.01;0.13;0.13;0.270983607;0.14;0.02;;0.01;;0.07;0.07;0.03;0.06;0.11;0.04;0.05;0.06;;;;;;;0.005;;
ini_Si;0.03;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
ini_As;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
ini_Mn;0.11;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
ini_Fe;0.12;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
ini_Zn ;0.04;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
ini_Sr;0.04;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
iniBa;0.02;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
ini_H2O;67.60;80.19;71.66;74.12;72.33;74.07;71.79;72.16;89.01;78.60;;;74.07;;;89.01;78.60;0.00;0.00;74.07;0.00;69.36;;;;;;;82.185;;
density_enriched_brine;1.13;1.13;1.333;1.333;1.333;1.333;1.433;1.22;1.22;1.22;1.2;;1.206;1.333;1.33;1.22;1.22;1.22;1.22;1.22;;1.2;;;;;;;1.333;;
vec_end;;;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;;;
end_Li;0.02;0.02;6.00;1.20;0.72;1.03;3.81;0.03;0.03;0.03;0.03;;0.07;0.70;3.00;0.025491803;0.030901639;0.00795082;0.016967213;0.022131148;0.90;0.07;;;;;;;0.6;;
end_Cl;12.57;5.36;33.05;;14.20;16.61;36.71;15.61;4.82;12.20;;;14.94;;;7.229590164;1.761721311;15.62295082;14.44942623;11.49721311;;16.98;;;;;;;;;
end_Na;4.36;1.97;0.07;;6.86;6.23;0.13;10.02;2.10;7.57;;;9.18;;;4.571311475;0.856557377;10.09016393;8.833770492;7.116147541;;8.78;;;;;;;;;
end_K;1.28;0.43;0.00;;4.20;4.11;2.21;0.54;0.62;0.30;;;0.68;;;0.066147541;0.24795082;0.278688525;0.243934426;0.308360656;;1.31;;;;;;;;;
end_Ca;2.27;0.46;0.06;;0.02;0.01;8.46;0.02;0.04;0.07;0.03;;0.06;;;0.043852459;0.004016393;0.049180328;0.045737705;0.118196721;;0.28;;;;;;;;;
end_Mg;0.01;0.01;1.50;;0.01;0.04;0.19;0.17;0.63;0.21;0.14;;0.15;;;0.066885246;0.186639344;0.105737705;0.151967213;0.092622951;;1.39;;;;;;;;;
end_SO4;0.01;0.02;0.24;;2.97;2.68;0.00;1.31;2.48;0.87;;;0.84;;;0.64057377;0.998688525;0.609836066;0.742622951;0.178196721;;1.78;;;;;;;;;
end_B;0.03;0.00;0.80;;0.70;0.18;0.56;0.13;0.27;0.14;0.02;;0.01;;;0.071967213;0.03295082;0.058032787;0.111967213;0.036393443;;0.06;;;;;;;;;
end_Si;0.03;0.01;;;;;;;;;;;0.00;;;0;0;0;0;0;;0.00;;;;;;;;;
end_As;0.00;0.00;;;;;;;;;;;0.00;;;0;0;0;0;0;;0.00;;;;;;;;;
end_Mn;0.11;0.00;;;;;;;;;;;0.00;;;0;0;0;0;0;;0.00;;;;;;;;;
end_Fe;0.12;0.00;;;;;;;;;;;0.00;;;0;0;0;0;0;;0.00;;;;;;;;;
end_Zn ;0.04;0.00;;;;;;;;;;;0.00;;;0;0;0;0;0;;0.00;;;;;;;;;
end_Sr;0.04;0.02;;;;;;;;;;;0.00;;;0.00;0.00;0.00;0.00;0.00;;0.00;;;;;;;;;
end_Ba;0.02;0.00;;;;;;;;;;;0.00;;;0;0;0;0;0;;0.00;;;;;;;;;
end_H2O;67.60;80.19;58.28;;70.00;69.12;47.93;72.16;89.01;78.60;;;74.07;;;89.01008197;78.59729508;0;0;74.06757877;;69.36;;;;;;;;;
 production ; 13’335’654.81 ; 2’030’000.00 ; 70’000’000.00 ; 12’605’000.00 ; 40’000’000.00 ; 5’000’000.00 ; 20’000’000.00 ;;;; 25’000’000.00 ;; 24’000’000.00 ; 45’000’000.00 ; 24’000’000.00 ;;;;;; 15’200’000.00 ; 40’000’000.00 ;;;;;;; 10’000’000.00 ;;
operating_days;328.5;328.5;365;365;292;360;328.5;;;;292;;328.5;333;328.5;;;;;;;;;;;;;;365;;
lifetime;30;30;40;40;40;30;50;;;;;;40;40;40;;;;;;20;;;;;;;;30;;
brine_vol;437;80;477.4;180;903;100;260;;;;776;;491.7;100;600;;;;;;150;;;;;;;;781.750312;;
freshwater_reported;0;0;1;1;0;1;1;;;;0;;1;0;1;;;;;;1;;;;;;;;0;;
freshwater_vol;;;31;22;105;4.27;14;;;;;;98.7;;35;;;;;;35;;;;;;;;;;
Li_efficiency;0.5;0.5;0.35;0.45;0.53;0.46;0.51;0.77;0.77;0.77;0.77;;0.77;0.5;0.61;0.77;0.77;0.77;0.77;0.77;0.58;0.77;0.5;;;;;;0.51;;
number_wells;;;;;40;;;;;;;;;8;;;;;;;;;;;;;;;;;
well_depth_brine;1500;3600;50;50;10;50;400;;;;380;;55;280;540;;;;;;130 (avg);;;;;;;;200;;
well_depth_freshwater;0;0;10;;;;;;;;;;;;62;;;;;;;;;;;;;;;;
distance_to_processing;0;0;240;0;0;0;160;;;;0;;;;;;;;;;;;;;;;;;0;;
quicklime_reported;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;;;;;;0;0;;;;;;;1;;
second_Li_enrichment_reported;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;;;;;;0;0;;;;;;;0;;
second_Li_enrichment;;;;;4;;3.2;;;;;;;1.7;;;;;;;;;;;;;;;;;
diesel_reported;0;0;1;0;0;0;0;;;;;;;;;;;;;;0;;;;;;;;0;;
diesel_consumption;;;1557778;;;;;;;;;;;;;;;;;;;;;;;;;;;;
motherliq_reported;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;1;;
waste_reported;;;;128340;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quicklime;;;;;;;;;;;;;;;72 000 t (EP), 2 200 (MgCa);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
process_sequence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
process_1;SiFe_removal_limestone;SiFe_removal_limestone;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;evaporation_ponds;;evaporation_ponds;SiFe_removal_limestone;;;;;;evaporation_ponds;evaporation_ponds;
process_2;MnZn_removal_lime;MnZn_removal_lime;transport_brine;Centrifuge_general;B_removal_organicsolvent;B_removal_organicsolvent;transport_brine;Li_adsorption;Li_adsorption;Li_adsorption;Li_adsorption;Li_adsorption;Li_adsorption;Mg_removal_sodaash;B_removal_organicsolvent;Li_adsorption;Li_adsorption;Li_adsorption;Li_adsorption;Li_adsorption;;Li_adsorption;MnZn_removal_lime;;;;;;Centrifuge_general;Li_adsorption;
process_3;acidification;acidification;B_removal_organicsolvent;Liprec_TG;Mg_removal_sodaash;Centrifuge_general;B_removal_organicsolvent;triple_evaporator;triple_evaporator;triple_evaporator;triple_evaporator;triple_evaporator;triple_evaporator;CentrifugeSoda;Centrifuge_general;triple_evaporator;triple_evaporator;triple_evaporator;triple_evaporator;triple_evaporator;;triple_evaporator;acidification;;;;;;Liprec_TG;triple_evaporator;
process_4;Li_adsorption;Li_adsorption;Centrifuge_general;washing_TG;CentrifugeSoda;Mg_removal_sodaash;Mg_removal_sodaash;ion_exchange_L;ion_exchange_L;ion_exchange_L;ion_exchange_L;ion_exchange_L;ion_exchange_L;ion_exchange_H;Mg_removal_sodaash;ion_exchange_L;ion_exchange_L;ion_exchange_L;ion_exchange_L;ion_exchange_L;;ion_exchange_L;Li_adsorption;;;;;;washing_TG;ion_exchange_L;
process_5;CaMg_removal_sodiumhydrox;CaMg_removal_sodiumhydrox;Mg_removal_sodaash;CentrifugeTG;Mg_removal_quicklime;CentrifugeSoda;CentrifugeSoda;DLE_evaporation_ponds;DLE_evaporation_ponds;DLE_evaporation_ponds;DLE_evaporation_ponds;DLE_evaporation_ponds;DLE_evaporation_ponds;Liprec_TG;CentrifugeSoda;DLE_evaporation_ponds;DLE_evaporation_ponds;DLE_evaporation_ponds;DLE_evaporation_ponds;DLE_evaporation_ponds;;DLE_evaporation_ponds;CaMg_removal_sodiumhydrox;;;;;;CentrifugeTG;DLE_evaporation_ponds;
process_6;ion_exchange_L;ion_exchange_L;CentrifugeSoda;dissolution;CentrifugeQuicklime;Mg_removal_quicklime;CaMg_removal_sodiumhydrox;Liprec_TG;Liprec_TG;Liprec_TG;Liprec_TG;Liprec_TG;Liprec_TG;CentrifugeTG;Mg_removal_quicklime;Liprec_TG;Liprec_TG;Liprec_TG;Liprec_TG;Liprec_TG;;Liprec_TG;ion_exchange_L;;;;;;dissolution;Liprec_TG;
process_7;reverse_osmosis;reverse_osmosis;Mg_removal_quicklime;Centrifuge_general;sulfate_removal_calciumchloride;CentrifugeQuicklime;Centrifuge_general;CentrifugeTG;CentrifugeTG;CentrifugeTG;CentrifugeTG;CentrifugeTG;CentrifugeTG;washing_TG;CentrifugeQuicklime;CentrifugeTG;CentrifugeTG;CentrifugeTG;CentrifugeTG;CentrifugeTG;;CentrifugeTG;reverse_osmosis;;;;;;Centrifuge_general;CentrifugeTG;
process_8;triple_evaporator;triple_evaporator;CentrifugeQuicklime;ion_exchange_H;ion_exchange_H;Liprec_TG;Liprec_TG;washing_TG;washing_TG;washing_TG;washing_TG;washing_TG;washing_TG;dissolution;ion_exchange_H;washing_TG;washing_TG;washing_TG;washing_TG;washing_TG;;washing_TG;triple_evaporator;;;;;;ion_exchange_H;washing_TG;
process_9;Liprec_TG;Liprec_TG;Liprec_TG;ion_exchange_H;triple_evaporator;CentrifugeTG;CentrifugeTG;dissolution;dissolution;dissolution;dissolution;dissolution;dissolution;Liprec_BG;Liprec_TG;dissolution;dissolution;dissolution;dissolution;dissolution;;dissolution;Liprec_TG;;;;;;ion_exchange_H;dissolution;
process_10;CentrifugeTG;CentrifugeTG;CentrifugeTG;ion_exchange_L;Liprec_TG;washing_TG;washing_TG;Liprec_BG;Liprec_BG;Liprec_BG;Liprec_BG;Liprec_BG;Liprec_BG;CentrifugeBG;CentrifugeTG;Liprec_BG;Liprec_BG;Liprec_BG;Liprec_BG;Liprec_BG;;Liprec_BG;CentrifugeTG;;;;;;ion_exchange_L;Liprec_BG;
process_11;washing_TG;washing_TG;washing_TG;Liprec_BG;CentrifugeTG;dissolution;dissolution;CentrifugeBG;CentrifugeBG;CentrifugeBG;CentrifugeBG;CentrifugeBG;CentrifugeBG;washing_BG;washing_TG;CentrifugeBG;CentrifugeBG;CentrifugeBG;CentrifugeBG;CentrifugeBG;;CentrifugeBG;washing_TG;;;;;;Liprec_BG;CentrifugeBG;
process_12;dissolution;dissolution;dissolution;CentrifugeBG;washing_TG;Liprec_BG;Liprec_BG;washing_BG;washing_BG;washing_BG;washing_BG;washing_BG;washing_BG;CentrifugeWash;dissolution;washing_BG;washing_BG;washing_BG;washing_BG;washing_BG;;washing_BG;dissolution;;;;;;CentrifugeBG;washing_BG;
process_13;Liprec_BG;Liprec_BG;Liprec_BG;washing_BG;dissolution;CentrifugeBG;CentrifugeBG;CentrifugeWash;CentrifugeWash;CentrifugeWash;CentrifugeWash;CentrifugeWash;CentrifugeWash;rotary_dryer;Liprec_BG;CentrifugeWash;CentrifugeWash;CentrifugeWash;CentrifugeWash;CentrifugeWash;;CentrifugeWash;Liprec_BG;;;;;;washing_BG;CentrifugeWash;
process_14;CentrifugeBG;CentrifugeBG;CentrifugeBG;CentrifugeWash;Liprec_BG;washing_BG;washing_BG;rotary_dryer;rotary_dryer;rotary_dryer;rotary_dryer;rotary_dryer;rotary_dryer;;CentrifugeBG;rotary_dryer;rotary_dryer;rotary_dryer;rotary_dryer;rotary_dryer;;rotary_dryer;CentrifugeBG;;;;;;CentrifugeWash;rotary_dryer;
process_15;washing_BG;washing_BG;washing_BG;rotary_dryer;CentrifugeBG;CentrifugeWash;CentrifugeWash;;;;;;;;washing_BG;;;;;;;;washing_BG;;;;;;rotary_dryer;;
process_16;CentrifugeWash;CentrifugeWash;CentrifugeWash;;washing_BG;rotary_dryer;rotary_dryer;;;;;;;;CentrifugeWash;;;;;;;;CentrifugeWash;;;;;;;;
process_17;rotary_dryer;rotary_dryer;rotary_dryer;;CentrifugeWash;;;;;;;;;;rotary_dryer;;;;;;;;rotary_dryer;;;;;;;;
process_18;;;;;rotary_dryer;;;;;;;;;;;;;;;;;;;;;;;;;;
process_19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
process_20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
